"location","origin_date","horizon","target_end_date","value","output_type_id","target","output_type"
"US National",2017-04-01,4,2017-04-29,0.793949829971447,0.01,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,1.07599393181298,0.025,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,1.16081065782572,0.05,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,1.35926053937332,0.1,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,1.53965618122766,0.15,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,1.61888015405181,0.2,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,1.71445813113866,0.25,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,1.77328260522798,0.3,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,1.82072660734078,0.35,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,1.86152507820497,0.4,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,1.94219126418665,0.45,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,1.96809343532767,0.5,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,2.04108824458005,0.55,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,2.10782694472269,0.6,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,2.23793840924765,0.65,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,2.30923631563286,0.7,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,2.40607792651449,0.75,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,2.49118752921023,0.8,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,2.62754883366892,0.85,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,2.72118403086652,0.9,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,2.89956393871774,0.95,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,3.08884496241962,0.975,"ili perc","quantile"
"US National",2017-04-01,4,2017-04-29,3.32095355384673,0.99,"ili perc","quantile"
